Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
earring-b,イヤリングB,この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。,UnReact Accessories,イヤリング,イヤリング,TRUE,Title,Default Title,,,,,E-PK-001,0.0,shopify,10,deny,manual,4500,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0497/5273/5908/products/B.jpg?v=1601703852,1,,FALSE,イヤリングB | 商品ページ,検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。,,,,,,,,,,,,,,,kg,,2000
earring-c,イヤリングC,この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。,UnReact Accessories,イヤリング,"イヤリング, セール",TRUE,Title,Default Title,,,,,P-WH-003,0.0,shopify,10,deny,manual,7000,9000,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0497/5273/5908/products/C2.jpg?v=1601703928,1,,FALSE,イヤリングC | 商品ページ,検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。,,,,,,,,,,,,,,,kg,,4000
earring-c,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0497/5273/5908/products/C.jpg?v=1601703928,2,,,,,,,,,,,,,,,,,,,,,
earring-d,イヤリングD,この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。,UnReact Accessories,イヤリング,イヤリング,TRUE,Title,Default Title,,,,,E-SH-001,0.0,shopify,10,deny,manual,5000,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0497/5273/5908/products/D.jpg?v=1601704107,1,,FALSE,イヤリングD | 商品ページ,検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。,,,,,,,,,,,,,,,kg,,2000
necklace-a,ネックレスA,この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。,UnReact Accessories,ネックレス,ネックレス,TRUE,Title,Default Title,,,,,N-PL-001,0.0,shopify,5,deny,manual,8000,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0497/5273/5908/products/A1_b2254403-68d7-4f4f-b14b-855a629fe6e4.jpg?v=1601704357,1,,FALSE,ネックレスA | 商品ページ,検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。,,,,,,,,,,,,,,,kg,,3000
necklace-a,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0497/5273/5908/products/A2_d05b5cf3-e287-4dbe-9a94-0944b9282ec2.jpg?v=1601704357,2,,,,,,,,,,,,,,,,,,,,,
necklace-b,ネックレスB,この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。,UnReact Accessories,ネックレス,ネックレス,TRUE,Title,Default Title,,,,,N-CR-001,0.0,shopify,9,deny,manual,9000,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0497/5273/5908/products/B_6d86caaf-157d-4a2d-8b9e-19be4c662bf1.jpg?v=1601704409,1,,FALSE,ネックレスB | 商品ページ,検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。,,,,,,,,,,,,,,,kg,,4000
necklace-c,ネックレスC,この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。,UnReact Accessories,ネックレス,"セール, ネックレス",TRUE,Title,Default Title,,,,,N-WH-001,0.0,shopify,5,deny,manual,10000,12000,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0497/5273/5908/products/C_53ab8266-875c-4aef-be95-1d7462fb5a20.jpg?v=1601705143,1,,FALSE,,検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。,,,,,,,,,,,,,,,kg,,5000
bracelet-a,ブレスレットA,この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。,UnReact Accessories,ブレスレット,ブレスレット,TRUE,Title,Default Title,,,,,B-WH-001,0.0,shopify,6,deny,manual,6000,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0497/5273/5908/products/A.jpg?v=1601705255,1,,FALSE,ブレスレットA | 商品ページ,検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。,,,,,,,,,,,,,,,kg,,2500
bracelet-b,ブレスレットB,この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。,UnReact Accessories,ブレスレット,ブレスレット,TRUE,Title,Default Title,,,,,B-GL-001,0.0,shopify,8,deny,manual,5000,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0497/5273/5908/products/B_fc92d7ab-80ee-43ed-958d-2c2f6d334c90.jpg?v=1601964835,1,,FALSE,ブレスレットB | 商品ページ,検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。,,,,,,,,,,,,,,,kg,,2000
bracelet-c,ブレスレットC,この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。,UnReact Accessories,ブレスレット,"セール, ブレスレット",TRUE,Title,Default Title,,,,,B-GL-002,0.0,shopify,6,deny,manual,3000,4000,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0497/5273/5908/products/C_2c9991f7-c4c1-4bf4-9b14-df08cdf1e04e.jpg?v=1601705633,1,,FALSE,ブレスレットC | 商品ページ,検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。,,,,,,,,,,,,,,,kg,,1500
bracelet-d,ブレスレットD,この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。,UnReact Accessories,ブレスレット,ブレスレット,TRUE,Title,Default Title,,,,,B-PK-001,0.0,shopify,5,deny,manual,6000,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0497/5273/5908/products/D_5258bfb6-fc6f-45ec-856c-691cf0a32650.jpg?v=1601705700,1,,FALSE,ブレスレットD | 商品ページ,検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。検索結果のメタディスクリプションに表示されます。,,,,,,,,,,,,,,,kg,,